File,Column
Budgets_Template,IATI activity identifier
Budgets_Template,Activity name
Budgets_Template,Budget start date
Budgets_Template,Budget end date
Budgets_Template,Currency
Budgets_Template,Budget
Budgets_Template,Value date
Budgets_Template,
Budgets_Template,Legend
Countries and regions_Template,IATI activity identifier
Countries and regions_Template,Activity name
Countries and regions_Template,Country name
Countries and regions_Template,Country code
Countries and regions_Template,Region name
Countries and regions_Template,Region code
Countries and regions_Template,Region vocabulary
Countries and regions_Template,Region vocabulary URI
Countries and regions_Template,Budget percentage
Countries and regions_Template,
Countries and regions_Template,Legend
Documents_Template,IATI activity identifier
Documents_Template,Activity name
Documents_Template,Web address
Documents_Template,Format
Documents_Template,Document title
Documents_Template,Document description
Documents_Template,Category
Documents_Template,Document language
Documents_Template,Document date
Documents_Template,
Documents_Template,Legend
Humanitarian_Template (optional),IATI activity identifier
Humanitarian_Template (optional),Activity name
Humanitarian_Template (optional),Humanitarian activity
Humanitarian_Template (optional),Humanitarian scope type 1
Humanitarian_Template (optional),Humanitarian vocabulary 1
Humanitarian_Template (optional),Humanitarian code 1
Humanitarian_Template (optional),Humanitarian scope type 2
Humanitarian_Template (optional),Humanitarian vocabulary 2
Humanitarian_Template (optional),Humanitarian code 2
Humanitarian_Template (optional),
Humanitarian_Template (optional),Legend
Location_template (optional),IATI activity identifier
Location_template (optional),Activity name
Location_template (optional),Location name
Location_template (optional),Location description
Location_template (optional),Activity description
Location_template (optional),Location reference
Location_template (optional),Latitude
Location_template (optional),Longitude
Location_template (optional),Reach
Location_template (optional),Exactness
Location_template (optional),Location id vocabulary
Location_template (optional),Location id code
Location_template (optional),Location type code
Location_template (optional),Administrative level vocabulary
Location_template (optional),Administrative level code
Location_template (optional),Administrative level
Location_template (optional),
Location_template (optional),Legend
Organisation-Budgets_Template,IATI organisation identifier
Organisation-Budgets_Template,Budget status
Organisation-Budgets_Template,Budget start date
Organisation-Budgets_Template,Budget end date
Organisation-Budgets_Template,Currency
Organisation-Budgets_Template,Budget
